#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  60
#! SET periodic_phi true
   -3.141592654   14.761778679  -49.536764894
   -3.036872898   10.055515923  -40.233583435
   -2.932153143    6.354126935  -30.426716338
   -2.827433388    3.672403915  -20.920001537
   -2.722713633    1.939052116  -12.471207318
   -2.617993878    1.014900192   -5.449116228
   -2.513274123    0.750256639    0.147867921
   -2.408554368    1.006399586    4.481677283
   -2.303834613    1.653206770    7.525068915
   -2.199114858    2.526893614    8.693171023
   -2.094395102    3.392337806    7.280322744
   -1.989675347    3.966919873    3.182740107
   -1.884955592    4.007526462   -2.708147902
   -1.780235837    3.419324242   -8.456733284
   -1.675516082    2.336073215  -11.824905601
   -1.570796327    1.102941431  -11.091729808
   -1.466076572    0.183846889   -5.925498186
   -1.361356817    0.000000000    2.687577068
   -1.256637061    0.814856748   12.784629805
   -1.151917306    2.677135360   22.394098991
   -1.047197551    5.459831205   30.217214125
   -0.942477796    8.942546871   35.769574340
   -0.837758041   12.890824293   39.150761033
   -0.733038286   17.093994970   40.743132393
   -0.628318531   21.384282414   40.810926976
   -0.523598776   25.602481420   39.388111953
   -0.418879020   29.578837278   36.049668555
   -0.314159265   33.081080191   30.205766260
   -0.209439510   35.820667840   21.478721851
   -0.104719755   37.501728804   10.135371757
    0.000000000   37.903369740   -2.794376418
    0.104719755   36.935219084  -15.679213576
    0.209439510   34.684549036  -27.046009078
    0.314159265   31.377618649  -35.749897478
    0.418879020   27.328001132  -41.140855034
    0.523598776   22.892135388  -43.112350519
    0.628318531   18.428132056  -41.704079067
    0.733038286   14.288388811  -36.894431935
    0.837758041   10.833535357  -28.620581918
    0.942477796    8.426988458  -16.895460167
    1.047197551    7.410777357   -2.160367650
    1.151917306    8.057279331   14.656819409
    1.256637061   10.518499037   32.242714236
    1.361356817   14.790826874   49.003248524
    1.466076572   20.699260639   63.144955600
    1.570796327   27.876754698   72.986922155
    1.675516082   35.791432409   76.969634945
    1.780235837   43.769794207   74.132494989
    1.884955592   51.079255093   64.183348214
    1.989675347   57.000632029   47.852422915
    2.094395102   60.949797126   26.867448724
    2.199114858   62.567706185    3.790637653
    2.303834613   61.780689693  -18.641832354
    2.408554368   58.780701791  -38.154943537
    2.513274123   53.957188169  -53.276073108
    2.617993878   47.813783595  -63.300355620
    2.722713633   40.897466311  -68.064766082
    2.827433388   33.736660385  -68.032636427
    2.932153143   26.788927466  -64.215433912
    3.036872898   20.387710636  -57.739330798
